.,Czech
EventTeleport1stTime.text,"Zlověstný, syčivý hlas šeptá v mysli vyšetřovatele držícího Hvězdný kalendář. „Tvoje špinavá mrtvola je moje! Moje děti sklidí tvou krev a vezmou si zpět, co je naše!“ Vyšetřovatel držící Hvězdný kalendář tiše zmizí do prázdna spolu s jakýmikoli dalšími vyšetřovateli, kteří sdíleli jeho prostor.\n\nVšichni postižení vyšetřovatelé jsou teleportováni na neznámé místo, obklopené temnou mlhou. Vidíte oltář posetý krvavými skvrnami. Vezměte si 2 Karty Strachu otočené lícem dolů (lze předejít úspěšným hodem na {will}).\n\nUmístěte {c:TileAltar} a postižené vyšetřovatele, jak je uvedeno."
SpawnSerpentAfterTeleport.button1,Pokračovat
SpawnSerpentPersonTeleport2nd3rdEtc.button1,Pokračovat
SpawnSerpentPersonTeleport2nd3rdEtc.text,"Opět slyšíte hadí hlas, který vám vyhrožuje smrtí. Vyšetřovatel držící Hvězdný kalendář, a jakýkoli další vyšetřovatel ve stejném prostoru, jsou teleportováni zpět na to hrůzné místo, které byste nejraději zapomněli. Vezměte si 1 Kartu Strachu otočenou lícem dolů (lze předejít úspěšným hodem na {will}).\n\nUmístěte své vyšetřovatele do prostoru s oltářem a umístěte Hadího člověka, jak je uvedeno."
EventKillSerpentPersonAfterTeleport.text,"Zabijete zlé stvoření a zelená krev prosakuje do země. Náhle slyšíte zuřivý zvuk tisíců hadů syčících z nebe. Začínáte opět mizet a znovu se objevíte před budovou.\n\nUmístěte své vyšetřovatele, jak je uvedeno."
EventKillSerpentPersonAfterTeleport.button1,Pokračovat
EventKillSerpentPersonAfterTeleport2.text,"Zabijete zlé stvoření a zelená krev prosakuje do země. Náhle slyšíte zuřivý zvuk tisíců hadů syčících z nebe. Začínáte opět mizet a znovu se objevíte před budovou.\n\nUmístěte své vyšetřovatele, jak je uvedeno."
EventKillSerpentPersonAfterTeleport2.button1,Pokračovat
EventMythosStarCalendarImmobilize.text,"Hvězdný kalendář náhle začne být neuvěřitelně těžký. Vyšetřovatel držící Hvězdný kalendář bojuje s ohromným břemenem, dokud se náhle nevrátí do normálu. Vezměte si 2 Karty Zranění (lze předejít úspěšným hodem na {strength}). Stáváte se Zadrženým."
EventMythosStarCalendarImmobilize.button1,Pokračovat
EventMythosStarCalendarTorment.text,"Hrůzné vize mučí vyšetřovatele držícího Hvězdný kalendář. Zlo, které jste viděli v chrámu, když jste se poprvé dotkli tohoto prokletého artefaktu, vás pronásleduje a proniká do nejhlubších zákoutí vaší mysli. Vezměte si 4 Karty Strachu (lze předejít úspěšným hodem na {will})."
EventMythosStarCalendarTorment.button1,Pokračovat
EventMythosRndmHaunting.text,"{rnd:hero} je pronásledován hrůzami zažitými během nedávné expedice za Hvězdným kalendářem. Zlá stvoření, krev a krutá aura chrámu se jen tak nezapomenou. Vezměte si 1 Kartu Strachu otočenou lícem dolů a poté otočte 1 Kartu Strachu lícem nahoru."
EventMythosRndmHaunting.button1,Pokračovat
EventMythosRndmScars.text,"{rnd:hero} pocítí otevírání starých ran, které utrpěl během expedice v Brazílii. Skoro máte pocit, že se vás chrám snaží zničit na dálku, než objevíte pravou povahu Hvězdného kalendáře. Vezměte si 3 Karty Zranění otočené lícem dolů (lze předejít úspěšným hodem na {strength}). Poté otočte 1 Kartu Zranění lícem nahoru."
EventMythosRndmScars.button1,Pokračovat
EventMythosRndmWandering.text,"Všichni vyšetřovatelé náhle přecházejí pod kontrolu záhadné entity. Vaše nohy vás nutí kráčet směrem ke vchodu do budovy, jako by vás něco chtělo přinutit toto místo opustit. Ze všeho nejvíce se bojíte toho, kam vás to nakonec dovede. Vezměte si 3 Karty Strachu otočené lícem dolů (lze předejít úspěšným hodem na {will}). Za každou Kartu Strachu, kterou obdržíte, se přesuňte o 2 pole směrem k nejbližší venkovní lokaci."
EventMythosRndmWandering.button1,Pokračovat
EventMythosRndmFearless.text,"Toto vyšetřování naplňuje {rnd:hero} strachem. Můžete být v bezpečí s tak nebezpečným artefaktem, když víte, že vás budou lovit ti, kteří touží po jeho moci? Na druhou stranu, věděli jste, že toto pátrání bude nebezpečné, a riziko stojí za potenciální přínos. Vezměte si 3 Karty Strachu (lze předejít úspěšným hodem na {will}). Pokud neobdržíte žádnou Kartu Strachu, získejte 2 kopie stavu Neohrožený. Každé kolo můžete zahodit pouze jednu z nich."
EventMythosRndmFearless.button1,Pokračovat
EventMythosRndmPoison.text,"{rnd:hero} si všimne, že se na okamžik otevře malá trhlina v prostoru, skrze kterou had udeří a pokusí se vpravit svůj jed. Poté se had stáhne do portálu a zmizí stejně náhle, jako se objevil ({observation}+{agility}; 4). Pokud neuspějete, vezměte si 1 Kartu Zranění otočenou lícem dolů a stáváte se Otráveným."
EventMythosRndmPoison.button1,Pokračovat
EventMythosRndmObsess.button1,Pokračovat
EventEventMythosRndmStunned.text,"Hadí hlas proniká myslí {rnd:hero}. „Nemůžeš uniknout mému hněvu! Trp a zemři v beznaději!“ Ostrá, pálivá bolest se rozlévá ve vaší hlavě, ale přes nesnesitelnou bolest nemůžete křičet. Jediným projevem vašeho utrpení je slza tvořící se ve vašem oku. Vezměte si 2 Karty Zranění a 2 Karty Strachu otočené lícem dolů (lze předejít úspěšným hodem na {strength}+{will}). Pokud utrpíte jakékoliv Zranění, stáváte se Ochromeným."
EventEventMythosRndmStunned.button1,Pokračovat
EventMythosRndmVisions.text,"Před očima {rnd:hero} probleskují vize šupin a tesáků. Poté slyšíte příval slov pronesených v prastarém jazyce. Snažíte se pochopit tento vám vzdáleně známý jazyk, v naději, že jeho porozumění přinese klid a pochopení. Vezměte si 3 Karty Strachu otočené lícem dolů (lze předejít úspěšným hodem na {lore}). Pokud neobdržíte žádnou Kartu Strachu, získejte 1 Žeton Stopy."
EventMythosRndmVisions.button1,Pokračovat
EventMythosStarCalendarStrikeAlly.text,"Vyšetřovatel držící Hvězdný kalendář náhle pocítí šílené nutkání napadnout své spojence. Otestujte své dovednosti {agility}+{strength}, abyste se ovládli. Za každý úspěch méně než 5 musíte udělit 1 Kartu Zranění otočenou lícem dolů jinému vyšetřovateli ve vaší nebo sousední oblasti (toto zranění může být rozděleno mezi více spojenců).\n\nPokud zaútočíte na vyšetřovatele v sousední oblasti, musíte se do této oblasti přesunout.\n\nPokud musíte poškodit své spojence, bez ohledu na počet úspěchů méně než 5, a v blízkosti není žádný spojenec, kterého byste mohli napadnout, vezměte si 1 Kartu Zranění otočenou lícem dolů a otočte 1 Kartu Zranění lícem nahoru."
EventMythosStarCalendarStrikeAlly.button1,Pokračovat
EventShowLibrarianStarCalendar.text,"Jste si jisti, že chcete ukázat Hvězdný kalendář Howardu Bechmanovi?"
EventShowLibrarianStarCalendar.button1,Ano!
EventShowLibrarianStarCalendar.button2,Ne!
EventStarCalendarLibrarianGuilty.text,"Podrobně vysvětlujete svou nedávnou expedici do Brazílie a odhalujete Howardu Bechmanovi Hvězdný kalendář. Zahoďte Hvězdný kalendář.\n\nHoward vám jej vytrhne dříve, než stihnete zareagovat. Zlověstný úšklebek, který se mu rozprostře po tváři, vám sevře srdce. „Takže jste našli tento vzácný artefakt, pokusili se ho před námi ukrýt, ale pak nám ho tak jednoduše naservírujete na stříbrném podnose?“ Zlověstně se uchechtne. „Nemáte ani ponětí, co tento artefakt je, že? No, já vám to rád povím. Je to cesta do světa Yiga, Pána hadů. Správně využitý, tento starověký relikt nám umožní přivést Yiga do našeho světa!“\n\nSnažíte se získat zpět Hvězdný kalendář, rozzuření svým osudným omylem. Howard pronesl neznámá slova, když se od vás vzdaluje, najednou kolem vás vše zčerná."
EventStarCalendarLibrarianGuilty.button1,Pokračovat
EventFinalBattleSetup.text,"Prokletá slova vás teleportují pryč z univerzity a ocitáte se v hrůzné krajině. Stojíte vedle obrovského oltáře uprostřed přibližující se temnoty a chaotických větrů.\n\nUmístěte {c:TileFinalBattle} a všechny vyšetřovatele, jak je uvedeno."
EventFinalBattleSetup.button1,Pokračovat
SpawnYig.text,"Když znovu nabýváte vědomí, vidíte na oltáři ohavné stvoření, které vás sleduje s nenávistí v každém kousku svého těla. Hlasitě zasyčí: „Váš svět je plný pošetilých pytlů masa, kteří jsou ochotni mě následovat, a teď mi poslali další oběť. Jsem Yig, Pán hadů! Jakmile ukojím svou žízeň vaší krví, moji následovníci mě přivolají do vašeho světa, kde budu Velkým ničitelem, nepřetržitě hodujícím na lidském mase!“\n\nVzhledem k tomu, že jste se při plánování návštěvy Miskatonické univerzity obávali nejhoršího, připravili jste se. I když jste nemohli v takovém prostředí odhalit své těžké zbraně, toto je ten pravý čas, abyste vypustili vše, co máte. Sáhnete pod své pláště a odhalíte svůj arzenál.\n\nJeden vyšetřovatel získá Brokovnici a druhý vyšetřovatel získá Samopal. Umístěte Lloigora jako Yiga, Pána hadů."
SpawnYig.button1,Pokračovat
CustomMonsterYig.monstername,Yig
EventYigAttacks.button1,Button1
CustomMonsterYig.info,-
EventYigAttack1.text,"Pán hadů máchne svým ocasem v obrovském oblouku. Všichni vyšetřovatelé se pokusí přeskočit masivní bičovitý přívěsek, když kolem nich proletí, v naději, že se vyhnou jeho ostrým čepelím. Každý vyšetřovatel utrpí 3 Zranění (lze předejít úspěšným hodem na {agility}). Pokud utrpíte jakékoliv Zranění, přesuňte se o 1 oblast."
EventYigAttack1.button1,Pokračovat
EventYigAttack2.text,"Yig se zhluboka nadechne a poté s masivním výdechem vydechne toxickou zelenou mlhu. Každý vyšetřovatel v oblasti s Yigem a v krajní oblasti s nejvíce vyšetřovateli se stává Otráveným a Ochromeným."
EventYigAttack2.button1,Pokračovat
EventYigAttack3.text,"Yig zvedne své drápy k bouři zuřící nad bojištěm a přivolá déšť jedovatých tesáků. Všichni vyšetřovatelé, kteří nejsou v centrální oblasti, utrpí 3 Zranění otočená lícem dolů (lze předejít úspěšným hodem na {observation}). Pokud utrpíte jakékoliv Zranění, stáváte se Otráveným."
EventYigAttack3.button1,Pokračovat
EventYigAttack4.text,"S zuřivou energií Yig seče kolem oltáře třpytivými drápy, z nichž každý je dlouhý jako meč. Všichni vyšetřovatelé v oblasti s Yigem utrpí 6 Zranění (lze předejít úspěšným hodem na {agility}+{observation})."
EventYigAttack4.button1,Pokračovat
EventYigAttack5.text,"Mocná energie vás začne táhnout směrem k Yigovu monstruóznímu tělu. Všichni vyšetřovatelé provedou hod na ({strength}; 3).\n\nPokud uspějete, dokážete zůstat stát na místě.\n\nPokud neuspějete, musíte se přesunout do centrální oblasti s Yigem a utrpět 1 Zranění otočené lícem dolů. Pokud jste již byli v centrální oblasti, vezměte si 1 Zranění otočené lícem dolů a otočte 1 Zranění lícem nahoru."
EventYigAttack5.button1,Pokračovat
EventEvadeYig.button1,Tlačítko1
EventYigHorror1.text,"Přítomnost Yiga je nesmírně tíživá. Jeho hadovitá postava je na rozdíl od čehokoliv, co byste si dokázali představit, a vědomí o jeho existenci je pro vaši mysl mučivé. Vezměte si 3 Karty Strachu otočené lícem dolů (lze předejít úspěšným hodem na {will}). Otočte 1 Kartu Strachu lícem nahoru."
EventYigHorror1.button1,Pokračovat
EventYigHorror2.text,"Yig přestane útočit a začne vás přemlouvat, abyste se k němu přidali jako jedno z jeho dětí, pokud byste jen přijali hadí tělo, které vám nabídne. Vezměte si 2 Karty Strachu otočené lícem dolů (lze předejít úspěšným hodem na {influence})."
EventYigHorror2.button1,Pokračovat
EventYigHorror3.text,"Yig promlouvá jazykem, který připomíná staré jihoamerické dialekty. Bojíte se jeho slov, ale porozumění tomuto jazyku vám ulehčí psychický tlak. Vezměte si 2 Karty Strachu otočené lícem dolů (lze předejít úspěšným hodem na {lore})."
EventYigHorror3.button1,Pokračovat
EventYigHorror.button1,Tlačítko1
EventEvadeYig1.text,"Yig vás bedlivě sleduje a chytá vaše tělo, zatímco se pokoušíte uniknout zpod jeho mohutné váhy. Utrpíte 2 Zranění otočené lícem dolů (lze předejít úspěšným hodem na {strength}). Pokud utrpíte jakékoliv Zranění, ztratíte svou akci."
EventEvadeYig1.button1,Pokračovat
EventEvadeYig2.text,"Yig máchne svým ostnatým ocasem, aby vám zabránil v úniku. Utrpíte 2 Zranění otočené lícem dolů (lze předejít úspěšným hodem na {agility}). Pokud utrpíte jakékoliv Zranění, ztratíte svou akci."
EventEvadeYig2.button1,Pokračovat
CustomMonsterYig.Attack_bladed_1,"Rozběhnete se, abyste Yigovi svou čepelí usekli nohu ({agility}+1; 3). Pokud uspějete, následuje zvuk řezání a výbuch zeleného slizu. Nestvůra obdrží zranění odpovídající poškození vaší zbraně. Pokud neuspějete, Yigův ocas vás smete dříve, než zasáhnete. Vezměte si 1 kartu Zranění."
EventStarCalendarLibrarianInnocent.text,"Nadšeně vyprávíte svůj příběh o Hvězdném kalendáři a své expedici do nitra brazilské džungle. Howard Bechman je ohromen, ale nevypadá vyděšeně.\n\n'Od té doby, co se zvěsti o tomto artefaktu rozšířily v Arkhamu, mnoho jednotlivců i skupin zkoumalo jeho pravdivost a potenciální moc,' vysvětluje. 'I tady na Miskatonické univerzitě jsme se o něm dozvěděli víc, než byste čekali. Jsem rád, že jste mě na to upozornili, protože musíme okamžitě zorganizovat rituál, abychom jeho moc utlumili a poslali ho zpět do světa, odkud přišel. Možná bychom měli přizvat další zaměstnance, kteří jsou dnes večer stále tady?'\n\nOkamžitě přesvědčíte Howarda, že ostatním nelze věřit. Rychle se přesvědčí. Za každý důkaz, který váš tým našel, může každý vyšetřovatel otočit 1 Kartu Strachu lícem dolů nebo zahodit 1 Kartu Strachu otočenou lícem dolů.\n\nOdstraňte figurku Howarda Bechmana z desky."
EventStarCalendarLibrarianInnocent.button1,Pokračovat
EventBeginRitualWithLibrarian.text,"Zahoďte Unikátní předmět Hvězdný kalendář. Opatrně ho položíte na podlahu a připravíte se řídit Howardovy pokyny.\n\nHoward pokračuje: 'Kolektivní výzkum mě vede k přesvědčení, že tento artefakt je spojnicí mezi světy. Legenda tvrdí, že mocná bytost, známá pouze jako Yig, dokázala tento artefakt před stovkami let vyslat do našeho světa. Při správném pochopení jeho schopností by mohl být Yig přivolán do našeho světa. A to je zřejmě motivace Kultu Zeleného oka, který se o tento artefakt zajímá. Jsou to následovníci této zlé bytosti a věří, že vytvoří nový svět, ve kterém budou mít vlivné postavení pod Yigovou železnou vládou.'\n\n'Nyní pošleme tento prokletý kámen zpět do Yigovy říše. Čím více z nás bude odříkávat rituální magii, tím efektivnější budeme. Také musíme na podlahu vyrýt zvláštní souhvězdí. Jakmile dokončíme obě části rituálu, můžeme artefakt vložit do rytiny a měl by se teleportovat zpět k Yigovi, ale rozbitý na stovky kousků.'\n\nUmístěte 2 Žetony Interakce, jak je uvedeno."
EventBeginRitualWithLibrarian.button1,Pokračovat
EventAddBarricades.text,"Některé police a nábytek by mohly být použity k zabarikádování dveří, pokud by to bylo potřeba.\n\nUmístěte 2 Žetony Barikády, jak je uvedeno."
EventAddBarricades.button1,Pokračovat
EventAlertCultists.text,"Jakmile váš spojenec vysloví první slova rituální magie, Hvězdný kalendář vydá hromový zvuk a prudce se otřese na podlaze. Tlaková vlna upozorní vaše nepřátele na váš záměr."
EventAlertCultists.button1,Pokračovat
EventEnemiesAlerted.button1,Button1
EventEugeneToMonster.button1,Button1
SpawnDeanWarlockHall1stTime.button1,Button1
SpawnDeanWarlockHall1stTime.text,"Když se otočí kolem sebe, aby zjistil zdroj narušení, děkan Clemens vycítí sílu Hvězdného kalendáře. 'Tak proto jste dnes večer přišli. Myslím, že jsem připraven na naše setkání,' pronese s temným smíchem.\n\nUmístěte Čarnokněžníka, jak je uvedeno."
SpawnDeanWarlockHall2ndTime.text,"Když se otočí kolem sebe, aby zjistil zdroj narušení, děkan Clemens vycítí sílu Hvězdného kalendáře. 'Tak proto jste dnes večer přišli. Myslím, že jsem připraven na naše setkání,' pronese s temným smíchem.\n\nUmístěte Černokněžníka, jak je uvedeno."
SpawnDeanWarlockHall2ndTime.button1,Pokračovat
SpawnDeanWarlockBathroomLobby.text,"Když se otočí kolem sebe, aby zjistil zdroj narušení, děkan Clemens vycítí sílu Hvězdného kalendáře. 'Tak proto jste dnes večer přišli. Myslím, že jsem připraven na naše setkání,' pronese s temným smíchem.\n\nUmístěte Černokněžníka, jak je uvedeno."
SpawnDeanWarlockBathroomLobby.button1,Pokračovat
SpawnDeanWarlockBathroom.text,"Když se otočí kolem sebe, aby zjistil zdroj narušení, děkan Clemens vycítí sílu Hvězdného kalendáře. 'Tak proto jste dnes večer přišli. Myslím, že jsem připraven na naše setkání,' pronese s temným smíchem.\n\nUmístěte Černokněžníka, jak je uvedeno."
SpawnDeanWarlockBathroom.button1,Pokračovat
SpawnDeanWarlockOffice.text,"Když se otočí kolem sebe, aby zjistil zdroj narušení, děkan Clemens vycítí sílu Hvězdného kalendáře. 'Tak proto jste dnes večer přišli. Myslím, že jsem připraven na naše setkání,' pronese s temným smíchem.\n\nUmístěte Černokněžníka, jak je uvedeno."
SpawnDeanWarlockOffice.button1,Pokračovat
EventProfessorSmithToMonster.button1,Tlačítko1
SpawnProfessorSerpentPerson.text,"Profesorovo tělo se svíjí, zatímco nadpřirozená energie proudí budovou. Z jeho těla odpadávájí velké kusy masa, odhalujíce jeho pravou podstatu následovníka Yiga.\n\nUmístěte Hadího člověka, jak je uvedeno."
SpawnProfessorSerpentPerson.button1,Pokračovat
EventDoctorToMonster.button1,Tlačítko1
SpawnDoctorFeatheredSerpent.button1,Pokračovat
EventLibrarianToMonster.button1,Button1
SpawnDoctorFeatheredSerpent.text,"Doktorka Barnettová vyděšeně zaječí, jak Hvězdný kalendář pulzuje temnou energií. Z jejího těla vystřelí křídla a kůže jí sklouzává na chladnou podlahu.\n\nUmístěte Okřídleného hada dle pokynů."
SpawnLibrarianSerpentPerson.text,"Hlavní knihovník se zhroutí na zem, jeho rozeklaný jazyk se zmítá ve vzduchu. Jeho šupinatá podoba vylézá z lidského těla a jeho zelené oči září hněvem Yiga.\n\nUmístěte Hadího člověka dle pokynů."
SpawnLibrarianSerpentPerson.button1,Pokračovat
EventLibrarianBringsFriends.text,"Zaslepený vztekem se Howard Bechman vrací se svými společníky z kultu. „Obětujeme tvé tělo Yigovi, Pánovi hadů!“ křičí."
EventLibrarianBringsFriends.button1,Pokračovat
SpawnLibrarianSerpentPersonOutside.text,"Howardovo tělo se nekontrolovatelně svíjí, jak jeho hadí podoba vyklouzne z lidské mrtvoly.\n\nUmístěte Hadího člověka dle pokynů."
SpawnLibrarianSerpentPersonOutside.button1,Pokračovat
SpawnAllyWarlock.text,Umístěte Černokněžníka dle pokynů.
SpawnAllyWarlock.button1,Pokračovat
SpawnAllyHumanoid.text,Umístěte {c:SpawnAllyHumanoid} dle pokynů.
SpawnAllyHumanoid.button1,Pokračovat
EventNoMythos1.button1,Pokračovat
EventNoMythos2.button1,Pokračovat
EventNoMythos3.button1,Pokračovat
EventStarCalendarDestroyItem.button1,Pokračovat
EventNoMythos6.button1,Pokračovat
EventNoMythos5.button1,Pokračovat
EventStarCalendarDestroyItem.text,"Hrozivě syčící hlas nutí vyšetřovatele držícího Hvězdný kalendář, aby zničil své věci. „Zbav se těchto materiálních věcí. Potřebuješ pouze relikvii, kterou neseš.“ ({influence}; 2). Pokud neuspěješ, zamíchej své běžné předměty, unikátní předměty a kouzla (kromě Hvězdného kalendáře). Jeden z nich náhodně zahoď a Vezmi si 1 kartu Strach."
EventNoMythos4.button1,Pokračovat
TokenInteractLibraryRitual.button1,{action} Pomoz s rituálem
EventRitualComplete.text,"Tvá slova konečně aktivovala Hvězdný kalendář. Začíná jasně zářit a vibrace konečně ustávají.\n\nOdstraň tento Žeton Interakce."
EventParticipateInRitual.text,"Nasloucháš, jak tvůj spojenec odříkává zaklínadlo, a snažíš se co nejlépe zopakovat jeho slova {lore}.\n\n*Poznámka: Po každém pokusu přidej svůj nový úspěch k celkovému součtu výsledků z předchozích pokusů."
EventParticipateInRitual.button1,Pokračovat
EventRitualInProgress.text,Víš, že musíš pokračovat. Čím více budete spolupracovat, tím dříve dokážete vyhnat tento hrůzný artefakt do Yigova světa.
EventRitualInProgress.button1,Pokračovat
TokenInteractLibraryRitual.text,Můžeš se zapojit do rituálu.
EventRitualComplete.button1,Pokračovat
EventVictoryAfterRitual.button1,Tlačítko1
TokenInteractLibraryEtching.text,Můžeš pomoci dokončit rytinu rituálu. Můžeš se pokusit vyřešit hádanku pomocí {lore}.
TokenInteractLibraryEtching.button1,{action} Vyřešeno
PuzzleEtching2to3.button1,Vyřešeno
EventCompleteEtching.text,"Konečně se ti podařilo dokončit rytinu.\n\nOdstraň tento Žeton Interakce."
PuzzleEtching4to5.button1,Vyřešeno
EventCompleteEtching.button1,Pokračovat
EventVictoryAfterEtching.button1,Tlačítko1
TokenInteractDoctorRitual.text,Můžeš se zapojit do rituálu.
TokenInteractDoctorRitual.button1,{action} Pomoz s rituálem
TokenInteractDeanRitual.text,Můžeš se zapojit do rituálu.
TokenInteractDeanRitual.button1,{action} Pomoz s rituálem
TokenInteractClassRitual.text,Můžeš se zapojit do rituálu.
TokenInteractClassRitual.button1,{action} Pomoz s rituálem
TokenInteractDoctorEtching.text,Můžeš pomoci dokončit rytinu rituálu. Můžeš se pokusit vyřešit hádanku pomocí {lore}.
TokenInteractDoctorEtching.button1,{action} Vyřešeno
TokenInteractDeanEtching.text,Můžeš pomoci dokončit rytinu rituálu. Můžeš se pokusit vyřešit hádanku pomocí {lore}.
TokenInteractDeanEtching.button1,{action} Vyřešeno
TokenInteractClassEtching.text,Můžeš pomoci dokončit rytinu rituálu. Můžeš se pokusit vyřešit hádanku pomocí {lore}.
TokenInteractClassEtching.button1,{action} Vyřešeno
EventShowDoctorStarCalendar.text,Jsi si jistý, že chceš ukázat Hvězdný kalendář doktorce Barnettové?
EventShowDoctorStarCalendar.button1,Ano!
EventShowDoctorStarCalendar.button2,Ne!
EventRevealStarCalendarToDean.text,Jsi si jistý, že chceš ukázat Hvězdný kalendář děkanovi Clemensovi?
EventRevealStarCalendarToDean.button1,Ano!
EventRevealStarCalendarToDean.button2,Ne!
EventRevealStarCalendarToProfessor.text,Jsi si jistý, že chceš ukázat Hvězdný kalendář profesorovi Smithovi?
EventRevealStarCalendarToProfessor.button1,Ano!
EventRevealStarCalendarToProfessor.button2,Ne!
EventRevealStarCalendarProfessorInnocent.button1,Pokračovat
EventRevealStarCalendarDoctorGuilty.button1,"Pokračovat"
EventRevealStarCalendarDoctorGuilty.text,"Vysvětlujete svou nedávnou expedici do Brazílie a odhalujete Dr. Barnettové Hvězdný kalendář. Odhoďte Hvězdný kalendář.\n\nRose vám ho vytrhne, než stihnete zareagovat. Zlověstný úšklebek, který se jí rozlije po tváři, vám sevře srdce. "Takže, najdete tento vzácný artefakt, pokusíte se ho před námi skrýt, a nakonec nám ho tak jednoduše naservírujete na stříbrném podnose?" zachichotá se hrozivě. "Nemáte ani ponětí, co tento artefakt je, že? Ráda vám to povím. Je to cesta do světa Yiga, Vládce hadů. Správně ovládnutý, tento starodávný relikt nám umožní přivést Yiga do našeho světa!"\n\nPokoušíte se získat Hvězdný kalendář zpět, rozzuření z této obrovské chyby. Rose pronáší nevyslovitelná slova a ustupuje, když v tom náhle vše potemní."
EventRevealStarCalendarDeanGuilty.text,"Vysvětlujete svou nedávnou expedici do Brazílie a odhalujete Eugeneovi Hvězdný kalendář. Odhoďte Hvězdný kalendář.\n\nNež stihnete zareagovat, Eugene vám ho vytrhne z ruky. Zlověstný úšklebek, který se mu rozlije po tváři, vám sevře srdce. "Takže, najdete tento vzácný artefakt, pokusíte se ho před námi skrýt, a nakonec nám ho tak jednoduše naservírujete na stříbrném podnose?" zachichotá se hrozivě. "Nemáte ani ponětí, co tento artefakt je, že? Rád vám to povím. Je to cesta do světa Yiga, Vládce hadů. Správně ovládnutý, tento starodávný relikt nám umožní přivést Yiga do našeho světa!"\n\nPokoušíte se získat Hvězdný kalendář zpět, rozzuření z této obrovské chyby. Eugene pronáší nevyslovitelná slova a ustupuje, když v tom náhle vše potemní."
EventRevealStarCalendarDeanGuilty.button1,"Pokračovat"
EventRevealStarCalendarProfessorGuilty.text,"Vysvětlujete svou nedávnou expedici do Brazílie a odhalujete profesoru Smithovi Hvězdný kalendář. Odhoďte Hvězdný kalendář.\n\nNež stihnete zareagovat, Smith vám ho vytrhne z ruky. Zlověstný úšklebek, který se mu rozlije po tváři, vám sevře srdce. "Takže, najdete tento vzácný artefakt, pokusíte se ho před námi skrýt, a nakonec nám ho tak jednoduše naservírujete na stříbrném podnose?" zachichotá se hrozivě. "Nemáte ani ponětí, co tento artefakt je, že? Rád vám to povím. Je to cesta do světa Yiga, Vládce hadů. Správně ovládnutý, tento starodávný relikt nám umožní přivést Yiga do našeho světa!"\n\nPokoušíte se získat Hvězdný kalendář zpět, rozzuření z této obrovské chyby. Profesor pronáší nevyslovitelná slova a ustupuje, když v tom náhle vše potemní."
EventRevealStarCalendarProfessorGuilty.button1,"Pokračovat"
EventRevealStarCalendarDoctorInnocent.text,"Naléhavě vyprávíte svůj příběh o Hvězdném kalendáři a vaší expedici, která ho získala v hlubinách brazilské džungle. Rose je vaším příběhem ohromená, ale nezdá se, že by ji to vyvedlo z míry.\n\n\"Od té doby, co se v Arkhamu rozšířily zvěsti o tomto reliktu, mnoho jednotlivců a skupin zkoumalo jeho pravost a potenciální sílu," vysvětluje. "Dokonce i tady na Miskatonické univerzitě jsme o něm zjistili více, než byste čekali. Jsem ráda, že jste mě na to upozornili, protože budeme muset okamžitě uspořádat rituál, abychom jeho sílu potlačili a vyhnali ho zpět do světa, odkud přišel. Možná bychom měli přizvat další členy fakulty, kteří jsou dnes večer stále zde?"\n\nOkamžitě přesvědčíte Dr. Barnettovou, že ostatní by neměli být důvěryhodní. Snadno je přesvědčena. Za každý Důkaz, které váš tým našel, si každý vyšetřovatel může otočit 1 Kartu Strachu lícem dolů nebo odhodit 1 Kartu Strachu lícem dolů.\n\nOdstraňte žeton Dr. Rose Barnettové z desky."
EventRevealStarCalendarDoctorInnocent.button1,"Pokračovat"
EventRevealStarCalendarDeanInnocent.text,"Naléhavě vyprávíte svůj příběh o Hvězdném kalendáři a vaší expedici, která ho získala v hlubinách brazilské džungle. Eugene je vaším příběhem ohromený, ale nezdá se, že by ho to vyvedlo z míry.\n\n\"Od té doby, co se v Arkhamu rozšířily zvěsti o tomto reliktu, mnoho jednotlivců a skupin zkoumalo jeho pravost a potenciální sílu," vysvětluje. "Dokonce i tady na Miskatonické univerzitě jsme o něm zjistili více, než byste čekali. Jsem rád, že jste mě na to upozornili, protože budeme muset okamžitě uspořádat rituál, abychom jeho sílu potlačili a vyhnali ho zpět do světa, odkud přišel. Možná bychom měli přizvat další členy fakulty, kteří jsou dnes večer stále zde?"\n\nOkamžitě přesvědčíte Eugenea, že ostatní by neměli být důvěryhodní. Snadno je přesvědčen. Za každý Důkaz, které váš tým našel, si každý vyšetřovatel může otočit 1 Kartu Strachu lícem dolů nebo odhodit 1 Kartu Strachu lícem dolů.\n\nOdstraňte žeton Eugenea Clemense z desky."
EventRevealStarCalendarDeanInnocent.button1,"Pokračovat"
